#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABI2	CYFIP2	9606.ENSP00000295851	9606.ENSP00000444645	0	0.710	0.900	0	0.969
ABI2	CYFIP1	9606.ENSP00000295851	9606.ENSP00000481038	0	0.960	0.720	0	0.988
ABI2	BRK1	9606.ENSP00000295851	9606.ENSP00000432472	0	0.960	0.900	0	0.995
ABI2	WASF1	9606.ENSP00000295851	9606.ENSP00000376368	0	0.959	0.900	0	0.995
ABI2	NCKAP1	9606.ENSP00000295851	9606.ENSP00000354251	0	0.959	0.900	0	0.995
ACTL6A	KAT2A	9606.ENSP00000397552	9606.ENSP00000225916	0	0.361	0.720	0	0.813
ACTL6A	EPC2	9606.ENSP00000397552	9606.ENSP00000258484	0	0.499	0.540	0	0.759
ACTL6A	EPC1	9606.ENSP00000397552	9606.ENSP00000263062	0	0.645	0.900	0	0.963
ACTL6A	KAT2B	9606.ENSP00000397552	9606.ENSP00000263754	0	0.161	0.720	0	0.755
ACTL6A	TADA3	9606.ENSP00000397552	9606.ENSP00000307684	0	0	0.720	0	0.720
ACTL6A	RUVBL1	9606.ENSP00000397552	9606.ENSP00000318297	0	0.863	0.900	0	0.985
ACTL6A	MORF4L1	9606.ENSP00000397552	9606.ENSP00000331310	0	0.607	0.900	0	0.959
ACTL6A	KAT5	9606.ENSP00000397552	9606.ENSP00000340330	0	0.645	0.900	0	0.963
ACTL6A	VPS72	9606.ENSP00000397552	9606.ENSP00000346464	0	0.654	0.800	0	0.927
ACTL6A	WDR5	9606.ENSP00000397552	9606.ENSP00000351446	0	0	0.720	0	0.720
ACTL6A	TRRAP	9606.ENSP00000397552	9606.ENSP00000352925	0	0.925	0.900	0	0.992
ACTL6A	MAP3K7	9606.ENSP00000397552	9606.ENSP00000358335	0	0.075	0.720	0	0.729
ACTL6A	DMAP1	9606.ENSP00000397552	9606.ENSP00000361363	0	0.817	0.900	0	0.980
ACTL6A	MEAF6	9606.ENSP00000397552	9606.ENSP00000362166	0	0.509	0.900	0	0.948
ADRM1	PSMA4	9606.ENSP00000478877	9606.ENSP00000044462	0	0.943	0.600	0	0.976
ADRM1	PSMC4	9606.ENSP00000478877	9606.ENSP00000157812	0	0.980	0.600	0	0.991
ADRM1	PSMD5	9606.ENSP00000478877	9606.ENSP00000210313	0	0.727	0.600	0	0.886
ADRM1	PSMD8	9606.ENSP00000478877	9606.ENSP00000215071	0	0.979	0.600	0	0.991
ADRM1	PSMA3	9606.ENSP00000478877	9606.ENSP00000216455	0	0.943	0.600	0	0.976
ADRM1	PSMD10	9606.ENSP00000478877	9606.ENSP00000217958	0	0.748	0.600	0	0.894
ADRM1	PSMD7	9606.ENSP00000478877	9606.ENSP00000219313	0	0.978	0.600	0	0.991
ADRM1	PSMA2	9606.ENSP00000478877	9606.ENSP00000223321	0	0.941	0.600	0	0.975
ADRM1	PSMB7	9606.ENSP00000478877	9606.ENSP00000259457	0	0.921	0.600	0	0.967
ADRM1	PSMC1	9606.ENSP00000478877	9606.ENSP00000261303	0	0.965	0.600	0	0.985
ADRM1	PSMA6	9606.ENSP00000478877	9606.ENSP00000261479	0	0.906	0.600	0	0.961
ADRM1	USP14	9606.ENSP00000478877	9606.ENSP00000261601	0	0.833	0.600	0	0.930
ADRM1	PSMD11	9606.ENSP00000478877	9606.ENSP00000261712	0	0.980	0.600	0	0.991
ADRM1	PSMB1	9606.ENSP00000478877	9606.ENSP00000262193	0	0.943	0.600	0	0.976
ADRM1	PSMD3	9606.ENSP00000478877	9606.ENSP00000264639	0	0.968	0.600	0	0.986
ADRM1	PSMB6	9606.ENSP00000478877	9606.ENSP00000270586	0	0.930	0.600	0	0.970
