node	identifier	category	term ID	term description	SignatureRatioKIRC	Abbreviation
ALYREF	9606.ENSP00000421592	STRING clusters	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus	0.484665021883	1_TREX
AP5Z1	9606.ENSP00000297562	GO Process	GO:0006281	DNA repair	0.80078813481	5_DNArepair
ATXN7L3	9606.ENSP00000397259	GO Process	GO:0006325	Chromatin organization	0.295026878906	6_chromatin
BAZ2A	9606.ENSP00000446880	GO Process	GO:0006325	Chromatin organization	-0.648698772747	6_chromatin
BCAS2	9606.ENSP00000358554	GO Component	GO:0071007	U2-type catalytic step 2 spliceosome	-0.151063026024	3_U2cat
BRD1	9606.ENSP00000216267	GO Process	GO:0006325	Chromatin organization	-0.00974519430895	6_chromatin
BRD2	9606.ENSP00000378704	GO Process	GO:0006325	Chromatin organization	-0.115677587179	6_chromatin
CBX3	9606.ENSP00000336687	GO Process	GO:0006325	Chromatin organization	0.196639274751	6_chromatin
CDK11A	9606.ENSP00000384442	GO Process	GO:1903311	Regulation of mrna metabolic process	1.17216160502	2_RNAmetabolism
CDK11B	9606.ENSP00000464036	GO Process	GO:1903311	Regulation of mrna metabolic process	0.544773713261	2_RNAmetabolism
CDK13	9606.ENSP00000181839	GO Process	GO:0006366	Transcription by rna polymerase ii	-0.16205989962	7_pretranscriptionAndElongation
CHTOP	9606.ENSP00000357679	STRING clusters	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus	0.323376076684	1_TREX
COPS4	9606.ENSP00000264389	GO Process	GO:0006281	DNA repair	-0.487671496468	5_DNArepair
CPSF6	9606.ENSP00000266679	GO Process	GO:1903311	Regulation of mrna metabolic process	-0.262451825084	2_RNAmetabolism
CWC15	9606.ENSP00000475615	GO Component	GO:0071007	U2-type catalytic step 2 spliceosome	0.741117677257	3_U2cat
CWC22	9606.ENSP00000387006	GO Process	GO:1903311	Regulation of mrna metabolic process	-0.305352133827	2_RNAmetabolism
CWC22	9606.ENSP00000387006	GO Component	GO:0071005	U2-type precatalytic spliceosome	-0.305352133827	4_U2precat
CWC22	9606.ENSP00000387006	GO Component	GO:0071006	U2-type catalytic step 1 spliceosome	-0.305352133827	3_U2cat
CWC22	9606.ENSP00000387006	GO Component	GO:0071007	U2-type catalytic step 2 spliceosome	-0.305352133827	3_U2cat
CWC25	9606.ENSP00000478070	GO Component	GO:0071006	U2-type catalytic step 1 spliceosome	0	3_U2cat
DDX17	9606.ENSP00000380033	GO Process	GO:1903311	Regulation of mrna metabolic process	-0.361701290724	2_RNAmetabolism
DDX39A	9606.ENSP00000242776	STRING clusters	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus	1.12363317825	1_TREX
DDX39B	9606.ENSP00000379475	STRING clusters	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus	0.105501003221	1_TREX
E2F3	9606.ENSP00000262904	GO Process	GO:0006366	Transcription by rna polymerase ii	-0.00913787544376	7_pretranscriptionAndElongation
EHMT2	9606.ENSP00000364678	GO Process	GO:0006325	Chromatin organization	0.188839861625	6_chromatin
EPC2	9606.ENSP00000258484	GO Process	GO:0006281	DNA repair	-0.64782802522	5_DNArepair
EPC2	9606.ENSP00000258484	GO Process	GO:0006325	Chromatin organization	-0.64782802522	6_chromatin
EXOSC7	9606.ENSP00000265564	GO Process	GO:1903311	Regulation of mrna metabolic process	0.662076321852	2_RNAmetabolism
FYTTD1	9606.ENSP00000241502	STRING clusters	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus	-0.44493036344	1_TREX
GADD45A	9606.ENSP00000360025	GO Process	GO:0006281	DNA repair	-0.0675420517762	5_DNArepair
GTF2H4	9606.ENSP00000259895	GO Process	GO:0006281	DNA repair	0.808468542368	5_DNArepair
GTF2H4	9606.ENSP00000259895	GO Process	GO:0006366	Transcription by rna polymerase ii	0.808468542368	7_pretranscriptionAndElongation
H2AFX	9606.ENSP00000434024	GO Process	GO:0006281	DNA repair	1.49267576475	5_DNArepair
H2AFX	9606.ENSP00000434024	GO Process	GO:0006325	Chromatin organization	1.49267576475	6_chromatin
HDAC4	9606.ENSP00000264606	GO Process	GO:0006325	Chromatin organization	-0.303540222397	6_chromatin
HDAC5	9606.ENSP00000225983	GO Process	GO:0006325	Chromatin organization	0.131031154519	6_chromatin
HELQ	9606.ENSP00000295488	GO Process	GO:0006281	DNA repair	-0.358425692795	5_DNArepair
HP1BP3	9606.ENSP00000312625	GO Process	GO:0006325	Chromatin organization	-0.342653873374	6_chromatin
IK	9606.ENSP00000396301	GO Process	GO:1903311	Regulation of mrna metabolic process	0.33583742102	2_RNAmetabolism
IK	9606.ENSP00000396301	GO Component	GO:0071005	U2-type precatalytic spliceosome	0.33583742102	4_U2precat
ISY1	9606.ENSP00000273541	GO Process	GO:0006281	DNA repair	1.01901016097	5_DNArepair
ISY1	9606.ENSP00000273541	GO Component	GO:0071006	U2-type catalytic step 1 spliceosome	1.01901016097	3_U2cat
KAT6A	9606.ENSP00000380136	GO Process	GO:0006325	Chromatin organization	-0.901602926566	6_chromatin
KDM6B	9606.ENSP00000254846	GO Process	GO:0006325	Chromatin organization	-0.137690061966	6_chromatin
KIF22	9606.ENSP00000160827	GO Process	GO:0006281	DNA repair	0.500097135315	5_DNArepair
MAPK14	9606.ENSP00000229795	GO Process	GO:1903311	Regulation of mrna metabolic process	-0.514886009633	2_RNAmetabolism
MBD4	9606.ENSP00000249910	GO Process	GO:0006281	DNA repair	0.129804603162	5_DNArepair
MED17	9606.ENSP00000251871	GO Process	GO:0006366	Transcription by rna polymerase ii	0.167041912026	7_pretranscriptionAndElongation
MORF4L1	9606.ENSP00000331310	GO Process	GO:0006281	DNA repair	-0.184543535453	5_DNArepair
MORF4L1	9606.ENSP00000331310	GO Process	GO:0006325	Chromatin organization	-0.184543535453	6_chromatin
NCAPG2	9606.ENSP00000387007	GO Process	GO:0006366	Transcription by rna polymerase ii	-0.483151236454	7_pretranscriptionAndElongation
PABPN1	9606.ENSP00000216727	GO Process	GO:0006366	Transcription by rna polymerase ii	0.686918380103	7_pretranscriptionAndElongation
PABPN1	9606.ENSP00000216727	GO Process	GO:1903311	Regulation of mrna metabolic process	0.686918380103	2_RNAmetabolism
PABPN1	9606.ENSP00000216727	STRING clusters	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus	0.686918380103	1_TREX
PALB2	9606.ENSP00000261584	GO Process	GO:0006281	DNA repair	-0.314453667071	5_DNArepair
PARN	9606.ENSP00000387911	GO Process	GO:1903311	Regulation of mrna metabolic process	0.262875704805	2_RNAmetabolism
