#node	identifier	category	term ID	term description
AAGAB	9606.ENSP00000261880	GO Process	GO:0006810	Transport
AAGAB	9606.ENSP00000261880	GO Process	GO:0008104	Protein localization
AAGAB	9606.ENSP00000261880	GO Process	GO:0015031	Protein transport
AAGAB	9606.ENSP00000261880	GO Process	GO:0015833	Peptide transport
AAGAB	9606.ENSP00000261880	GO Process	GO:0033036	Macromolecule localization
AAGAB	9606.ENSP00000261880	GO Process	GO:0042886	Amide transport
AAGAB	9606.ENSP00000261880	GO Process	GO:0045184	Establishment of protein localization
AAGAB	9606.ENSP00000261880	GO Process	GO:0051179	Localization
AAGAB	9606.ENSP00000261880	GO Process	GO:0051234	Establishment of localization
AAGAB	9606.ENSP00000261880	GO Process	GO:0071702	Organic substance transport
AAGAB	9606.ENSP00000261880	GO Process	GO:0071705	Nitrogen compound transport
AAGAB	9606.ENSP00000261880	GO Component	GO:0005622	Intracellular
AAGAB	9606.ENSP00000261880	GO Component	GO:0005634	Nucleus
AAGAB	9606.ENSP00000261880	GO Component	GO:0005654	Nucleoplasm
AAGAB	9606.ENSP00000261880	GO Component	GO:0005737	Cytoplasm
AAGAB	9606.ENSP00000261880	GO Component	GO:0005829	Cytosol
AAGAB	9606.ENSP00000261880	GO Component	GO:0016604	Nuclear body
AAGAB	9606.ENSP00000261880	GO Component	GO:0016607	Nuclear speck
AAGAB	9606.ENSP00000261880	GO Component	GO:0031974	Membrane-enclosed lumen
AAGAB	9606.ENSP00000261880	GO Component	GO:0031981	Nuclear lumen
AAGAB	9606.ENSP00000261880	GO Component	GO:0043226	Organelle
AAGAB	9606.ENSP00000261880	GO Component	GO:0043227	Membrane-bounded organelle
AAGAB	9606.ENSP00000261880	GO Component	GO:0043229	Intracellular organelle
AAGAB	9606.ENSP00000261880	GO Component	GO:0043231	Intracellular membrane-bounded organelle
AAGAB	9606.ENSP00000261880	GO Component	GO:0043233	Organelle lumen
AAGAB	9606.ENSP00000261880	GO Component	GO:0070013	Intracellular organelle lumen
AAGAB	9606.ENSP00000261880	GO Component	GO:0110165	Cellular anatomical entity
AAGAB	9606.ENSP00000261880	STRING clusters	CL:26899	Mostly uncharacterized, incl. trna wobble uridine modification, and protein ufmylation
AAGAB	9606.ENSP00000261880	STRING clusters	CL:27055	Mostly uncharacterized, incl. mmge/prpd, and protein abitram
AAGAB	9606.ENSP00000261880	STRING clusters	CL:27057	Mixed, incl. mmge/prpd, and ovarian endometrial cancer
AAGAB	9606.ENSP00000261880	DISEASES	DOID:0060361	Punctate palmoplantar keratoderma
AAGAB	9606.ENSP00000261880	DISEASES	DOID:0080214	Punctate palmoplantar keratoderma type i
AAGAB	9606.ENSP00000261880	DISEASES	DOID:16	Integumentary system disease
AAGAB	9606.ENSP00000261880	DISEASES	DOID:161	Keratosis
AAGAB	9606.ENSP00000261880	DISEASES	DOID:3390	Palmoplantar keratosis
AAGAB	9606.ENSP00000261880	DISEASES	DOID:37	Skin disease
AAGAB	9606.ENSP00000261880	DISEASES	DOID:4	Disease
AAGAB	9606.ENSP00000261880	DISEASES	DOID:7	Disease of anatomical entity
AAGAB	9606.ENSP00000261880	TISSUES	BTO:0000000	Tissues, cell types and enzyme sources
AAGAB	9606.ENSP00000261880	TISSUES	BTO:0000042	Animal
